近鉄	18	0.033272
八幡	14	0.025878
製鉄	14	0.025878
釜石	12	0.022181
神戸製鋼	12	0.022181
新日鉄	11	0.020333
トヨタ	10	0.018484
工	10	0.018484
83	10	0.018484
大会	9	0.016636
19	9	0.016636
三洋電機	9	0.016636
チーム	8	0.014787
15	8	0.014787
東芝	8	0.014787
府中	8	0.014787
優勝	7	0.012939
日本	7	0.012939
サントリー	7	0.012939
選手権	6	0.011091
27	6	0.011091
トヨタ自動車	6	0.011091
京都	5	0.009242
13	5	0.009242
リコー	5	0.009242
出場	4	0.007394
決勝	4	0.007394
11	4	0.007394
16	4	0.007394
三菱自工	4	0.007394
東京	4	0.007394
31	4	0.007394
BC	4	0.007394
ラグビーフットボール	3	0.005545
ラグビー	3	0.005545
トーナメント	3	0.005545
戦	3	0.005545
進出	3	0.005545
編集	3	0.005545
24	3	0.005545
10	3	0.005545
14	3	0.005545
17	3	0.005545
25	3	0.005545
18	3	0.005545
22	3	0.005545
29	3	0.005545
26	3	0.005545
28	3	0.005545
全国	2	0.003697
社会	2	0.003697
人	2	0.003697
年	2	0.003697
シーズン	2	0.003697
ため	2	0.003697
リーグ	2	0.003697
上位	2	0.003697
1994	2	0.003697
1995	2	0.003697
年度	2	0.003697
39	2	0.003697
32	2	0.003697
九州電力	2	0.003697
12	2	0.003697
20	2	0.003697
21	2	0.003697
23	2	0.003697
35	2	0.003697
36	2	0.003697
37	2	0.003697
38	2	0.003697
50	2	0.003697
2002	2	0.003697
放送	2	0.003697
テレビ朝日	2	0.003697
アナウンサー	2	0.003697
実況	2	0.003697
担当	2	0.003697
BA	2	0.003697
出典	1	0.001848
フリー	1	0.001848
百科	1	0.001848
事典	1	0.001848
ウィキペディア	1	0.001848
Wikipedia	1	0.001848
移動	1	0.001848
ナビゲーション	1	0.001848
検索	1	0.001848
ぜん	1	0.001848
ゃかいじん	1	0.001848
2003	1	0.001848
2004	1	0.001848
ジャパンラグビートップリーグ	1	0.001848
創設	1	0.001848
発展	1	0.001848
解消	1	0.001848
東日本	1	0.001848
関西	1	0.001848
西日本	1	0.001848
地区	1	0.001848
以前	1	0.001848
完全	1	0.001848
組	1	0.001848
予選	1	0.001848
プール	1	0.001848
各組	1	0.001848
位	1	0.001848
当初	1	0.001848
権	1	0.001848
直接的	1	0.001848
後継	1	0.001848
開催	1	0.001848
時期	1	0.001848
トップ	1	0.001848
マイクロソフト	1	0.001848
カップ	1	0.001848
役割	1	0.001848
歴代	1	0.001848
記録	1	0.001848
回	1	0.001848
結果	1	0.001848
備考	1	0.001848
1948	1	0.001848
配	1	0.001848
炭	1	0.001848
公団	1	0.001848
57	1	0.001848
1949	1	0.001848
三井化学	1	0.001848
住友	1	0.001848
奔別	1	0.001848
1950	1	0.001848
1951	1	0.001848
1952	1	0.001848
川崎重工	1	0.001848
1953	1	0.001848
1954	1	0.001848
大映	1	0.001848
1955	1	0.001848
1956	1	0.001848
1957	1	0.001848
市役所	1	0.001848
1958	1	0.001848
1959	1	0.001848
1960	1	0.001848
1961	1	0.001848
1962	1	0.001848
谷藤	1	0.001848
機械	1	0.001848
1963	1	0.001848
1964	1	0.001848
1965	1	0.001848
1966	1	0.001848
1967	1	0.001848
1968	1	0.001848
1969	1	0.001848
辞退	1	0.001848
富士	1	0.001848
鉄	1	0.001848
代替	1	0.001848
1970	1	0.001848
抽選	1	0.001848
1971	1	0.001848
1972	1	0.001848
1973	1	0.001848
1974	1	0.001848
1975	1	0.001848
1976	1	0.001848
30	1	0.001848
1977	1	0.001848
1978	1	0.001848
1979	1	0.001848
33	1	0.001848
1980	1	0.001848
34	1	0.001848
1981	1	0.001848
1982	1	0.001848
1983	1	0.001848
1984	1	0.001848
1985	1	0.001848
1986	1	0.001848
40	1	0.001848
1987	1	0.001848
41	1	0.001848
1988	1	0.001848
42	1	0.001848
1989	1	0.001848
43	1	0.001848
1990	1	0.001848
44	1	0.001848
1991	1	0.001848
45	1	0.001848
1992	1	0.001848
46	1	0.001848
1993	1	0.001848
47	1	0.001848
48	1	0.001848
トライ	1	0.001848
数	1	0.001848
49	1	0.001848
1996	1	0.001848
1997	1	0.001848
枠	1	0.001848
拡張	1	0.001848
51	1	0.001848
1998	1	0.001848
52	1	0.001848
1999	1	0.001848
ワールド	1	0.001848
53	1	0.001848
2000	1	0.001848
54	1	0.001848
2001	1	0.001848
55	1	0.001848
最後	1	0.001848
太字	1	0.001848
NHK	1	0.001848
杯	1	0.001848
模様	1	0.001848
系列	1	0.001848
全国ネット	1	0.001848
会場	1	0.001848
毎年	1	0.001848
交互	1	0.001848
秩父宮	1	0.001848
場	1	0.001848
近鉄花園ラグビー場	1	0.001848
朝日放送	1	0.001848
外部	1	0.001848
リンク	1	0.001848
サンケイ	1	0.001848
スポーツ	1	0.001848
社会人選手権	1	0.001848
成績	1	0.001848
一覧	1	0.001848
http	1	0.001848
://	1	0.001848
ja	1	0.001848
wikipedia	1	0.001848
org	1	0.001848
wiki	1	0.001848
/%	1	0.001848
85	1	0.001848
BD	1	0.001848
BE	1	0.001848
82	1	0.001848
93	1	0.001848
95	1	0.001848
88	1	0.001848
AB	1	0.001848
作成	1	0.001848
カテゴリ	1	0.001848
朝日新聞社	1	0.001848
イベント	1	0.001848
現存	1	0.001848
競技	1	0.001848
